Track,Shazam_charts
Super Freaky Girl,2
Running Up That Hill (A Deal With God),0
Dream On,0
Limbo,2
Where Are You Now,58
WORTH NOTHING,2
Bad Habits,0
KICK BACK,0
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,0
Good Days,10
Levitating (feat. DaBaby),60
Woman,0
Shut up My Moms Calling - (Sped Up),0
Ferrari,168
"You're On Your Own, Kid",1
"Kesariya (From ""Brahmastra"")",0
Agudo Mï¿½ï¿½gi,0
Payphone,0
All I Want for Christmas Is You,0
Last Christmas,0
Rockin' Around The Christmas Tree,0
Jingle Bell Rock,0
It's Beginning To Look A Lot Like Christmas,0
Santa Tell Me,0
It's the Most Wonderful Time of the Year,1
Let It Snow! Let It Snow! Let It Snow!,0
Snowman,0
Underneath the Tree,0
Feliz Navidad,0
Holly Jolly Christmas,0
Mistletoe,0
Sleigh Ride,0
Seek & Destroy,0
Love Language,0
Happy Xmas (War Is Over),0
Used (feat. Don Toliver),0
A Holly Jolly Christmas - Single Version,0
The Christmas Song (Merry Christmas To You) - Remastered 1999,0
Wonderful Christmastime - Edited Version / Remastered 2011,0
Do They Know It's Christmas? - 1984 Version,0
Ghost in the Machine (feat. Phoebe Bridgers),0
Special,0
Merry Christmas Everyone,0
Let It Snow! Let It Snow! Let It Snow!,0
SOS,0
Open Arms (feat. Travis Scott),46
White Christmas,0
Driving Home for Christmas - 2019 Remaster,0
Christmas (Baby Please Come Home),0
Gone Girl,0
F2F,0
Notice Me,0
Merry Christmas,0
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),0
My Only Wish (This Year),0
Antidepresan,9
Wild Flower (with youjeen),2
I Hate U,0
Raindrops (Insane) [with Travis Scott],0
SPIT IN MY FACE!,24
Deck The Hall - Remastered 1999,0
Smoking on my Ex Pack,0
Conceited,0
Snow On The Beach (feat. Lana Del Rey),11
Maroon,0
Tubarï¿½ï¿½o Te,0
Bejeweled,0
Tarot,0
You Make It Feel Like Christmas (feat. Blake Shelton),0
Desesperados,0
Too Late,0
Party,36
Run Rudolph Run - Single Version,1
Jingle Bells - Remastered 1999,0
Far,0
On Time (with John Legend),2
GATï¿½ï¿½,1
ýýýabcdefu,0
Sacrifice,0
Is There Someone Else?,3
Fingers Crossed,6
Out of Time,0
Do It To It,11
We Don't Talk About Bruno,0
Pepas,0
How Do I Make You Love Me?,0
Gasoline,0
Infinity,0
Less Than Zero,1
Take My Breath,0
good 4 u,0
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr",0
Best Friends,0
Kiss Me More (feat. SZA),12
I Heard You're Married (feat. Lil Wayne),0
Need To Know,0
MONTERO (Call Me By Your Name),0
love nwantiti (ah ah ah),0
Dawn FM,0
Surface Pressure,0
Starry Eyes,0
THATS WHAT I WANT,4
One Right Now (with The Weeknd),1
Beggin,75
Mon Amour - Remix,40
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0
MONEY,0
The Motto,5
Happier Than Ever,0
Moth To A Flame (with The Weeknd),0
traitor,0
Toxic,0
drivers license,0
Malvadï¿½ï¿,0
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),2
Donï¿½ï¿½ï¿½t Break My,0
Oh My God,0
Entre Nosotros (Remix) [con Nicki Nicole],0
A Tale By Quincy,0
I AM WOMAN,0
Medallo,0
It'll Be Okay,10
Softcore,30
Super Gremlin,1
Volvï¿,1
Todo De Ti,16
Love Nwantiti - Remix,0
Smokin Out The Window,0
Meet Me At Our Spot,1
Every Angel is Terrifying,0
Tacones Rojos,28
Peaches (feat. Daniel Caesar & Giveon),0
Dakiti,25
"Tiago PZK: Bzrp Music Sessions, Vol. 48",3
Lï¿½ï¿½ï¿,2
Nostï¿½ï¿½l,16
Better Days (NEIKED x Mae Muller x Polo G),1
Life Goes On,0
Sad Girlz Luv Money Remix (feat. Kali Uchis),3
Butter,5
pushin P (feat. Young Thug),0
You Right,4
deja vu,46
Dynamite,0
TO THE MOON,0
Lost in the Fire,46
Salimo de Noche,0
Volando - Remix,2
Leave The Door Open,10
Knife Talk (with 21 Savage ft. Project Pat),3
Don't Be Shy,21
Love Grows (Where My Rosemary Goes),0
LA FAMA (with The Weeknd),4
The Family Madrigal,0
Phantom Regret by Jim,0
Dos Oruguitas,0
Freaks,13
Acapulco,0
Daddy Issues,3
thought i was playing,0
ELEVEN,0
Mood (feat. Iann Dior),0
What Else Can I Do?,0
DANCE CRIP,4
Miserable Man,0
happier,45
Praise God,0
Get Into It (Yuh),0
Before You Go,25
Sky,1
Rolling in the Deep,78
Sobrio,1
Peru,22
favorite crime,7
Thunder,13
The Business,14
positions,2
I WANNA BE YOUR SLAVE,13
Vai Lï¿½ï¿½ Em Casa ,0
The Feels,2
HEARTBREAK ANNIVERSARY,37
No Lie,62
OUT OUT (feat. Charli XCX & Saweetie),1
Pope Is a Rockstar,0
2055,0
Bored,0
Happier Than Ever - Edit,0
Astronaut In The Ocean,7
Ley Seca,0
Every Summertime,6
Talking To The Moon,0
you broke me first,1
The Nights,55
Take My Breath,0
Way 2 Sexy (with Future & Young Thug),0
Cï¿½ï¿½,5
Enemy - from the series Arcane League of Legends,0
Dance Monkey,0
Lucid Dreams,5
Quï¿½ï¿½ Mï¿½ï¿,0
All of Me,77
Smells Like Teen Spirit - Remastered 2021,160
Arcade,0
Fair Trade (with Travis Scott),3
Bar,0
The Rumbling (TV Size),0
family ties (with Kendrick Lamar),2
Mr. Brightside,120
Blessed-Cursed,0
AM Remix,0
Streets,12
Shallow,121
Polaroid Love,0
Leave Before You Love Me (with Jonas Brothers),70
Permission to Dance,2
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,18
RAPSTAR,0
'Till I Collapse,0
Memories,19
Se Le Ve,0
25k jacket (feat. Lil Baby),0
When Iï¿½ï¿½ï¿½m Gone (with Katy ,0
Esqueï¿½ï¿½a-Me Se For C,0
Miï¿½ï¿½n,0
Sï¿½ï¿½,0
MAMIII,29
Still D.R.E.,0
Stay Alive (Prod. SUGA of BTS),1
Boyfriend,2
The Joker And The Queen (feat. Taylor Swift),0
The Next Episode,953
Light Switch,1
City of Gods,0
Brividi,0
Lost,4
In Da Club,35
she's all i wanna be,12
Ginseng Strip 2002,3
All For Us - from the HBO Original Series Euphoria,4
Notion,6
Formula,1
Mount Everest,12
Excuses,0
Cigarettes,0
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)",0
California Love - Original Version (Explicit),0
Forgot About Dre,3
Down Under (feat. Colin Hay),7
Mujeriego,24
HUMBLE.,5
Stan,0
Contection,1
Swim,0
A Tu Merced,0
Numb Little Bug,6
212,0
Problemï¿½,4
Bussin,0
Worst Day,0
Malvada,0
Hrs and Hrs,4
Alien Blues,1
Thinking Out Loud,28
Still Don't Know My Name,0
Christmas Tree,8
Mal Feito - Ao Vivo,0
When I R.I.P.,0
Do We Have A Problem?,0
Forever,2
Gospel (with Eminem),0
Seï¿½ï¿½o,8
NEW MAGIC WAND,1
Adore You,5
La Santa,0
Something In The Way - Remastered 2021,43
Sweetest Pie,0
Bam Bam (feat. Ed Sheeran),35
Una Noche en Medellï¿½,2
Envolver,4
Starlight,1
Hati-Hati di Jalan,0
"I'm Tired - From ""Euphoria"" An Original HBO Series",0
DANï¿½ï¿½A,1
Yo Voy (feat. Daddy Yankee),5
"Residente: Bzrp Music Sessions, Vol. 49",0
Jordan,0
Nail Tech,0
Chale,1
DARARI,9
Ya No Somos Ni Seremos,11
Thinking with My Dick,0
Freaky Deaky,0
this is what falling in love feels like,7
La Zona,1
Bohemian Rhapsody - Remastered 2011,17
Hope,7
Levitating,1
Wake Me Up - Radio Edit,46
"jealousy, jealousy",0
Monï¿½ï¿½y so,10
Demasiadas Mujeres,14
Something Just Like This,30
Closer,44
O.O,0
Somebody That I Used To Know,0
Tom's Diner,3
First Class,12
Plan A,0
Fuera del mercado,0
X ï¿½ï¿½LTIMA,0
When You're Gone,14
In My Head,0
Wait a Minute!,10
LOVE DIVE,1
Pantysito,0
Chance,0
Cool for the Summer,6
psychofreak (feat. WILLOW),0
Angel Baby,10
Vampiro,0
Si Quieren Frontear,0
Right On,1
Me Arrepentï¿,0
That's Hilarious,15
Soy El Unico,1
RUMBATï¿½,1
sentaDONA (Remix) s2,0
Falling,8
Sigue,0
Fim de Semana no Rio,0
MANIAC,0
There's Nothing Holdin' Me Back,71
IDGAF (with blackbear),1
Golden,2
Get Lucky - Radio Edit,0
Ain't Shit,1
"Nobody Like U - From ""Turning Red""",0
Still Life,0
Photograph,84
Love Yourself,36
N95,206
About Damn Time,24
Die Hard,0
Despuï¿½ï¿½s de la P,5
Un Ratito,1
United In Grief,51
Father Time (feat. Sampha),0
Yo No Soy Celoso,0
Rich Spirit,0
Cooped Up (with Roddy Ricch),0
Me Fui de Vacaciones,0
Silent Hill,0
La Corriente,0
Count Me Out,1
Andrea,1
Dos Mil 16,0
We Cry Together,0
Savior,0
Un Coco,0
Otro Atardecer,33
Worldwide Steppers,0
Aguacero,0
Purple Hearts,0
Un Verano Sin Ti,0
ULTRA SOLO,0
Ensï¿½ï¿½ï¿½ï¿½ame ,0
El Apagï¿½,1
Callaita,0
Dua Lipa,0
Agosto,0
House Of Memories,0
Mr. Morale,0
That That (prod. & feat. SUGA of BTS),0
In The Stars,210
Rich - Interlude,0
SUPERMODEL,3
Stefania (Kalush Orchestra),0
Thousand Miles,1
Crown,0
Auntie Diaries,0
PUFFIN ON ZOOTIEZ,0
Mirror,0
Beautiful Girl,0
"Paulo Londra: Bzrp Music Sessions, Vol. 23",0
Savior - Interlude,0
Pasoori,0
Mother I Sober (feat. Beth Gibbons of Portishead),0
TUS Lï¿½ï¿½GR,5
Where Did You Go?,18
I Tried to Tell Y'all,0
Honest (feat. Don Toliver),0
ZOOM,0
SloMo,2
FEARLESS,0
10 Things I Hate About You,0
SPACE MAN,0
With you,1
Iris,0
The Heart Part 5,0
San Lucas,0
This Love (Taylorï¿½ï¿½ï¿½s Ve,2
Good Looking,1
Flowers,1
Yet To Come,0
Run BTS,3
Music For a Sushi Restaurant,1
Matilda,0
For Youth,0
Daylight,0
Vegas (From the Original Motion Picture Soundtrack ELVIS),17
Cash In Cash Out,0
Potion (with Dua Lipa & Young Thug),0
Born Singer,0
Little Freak,0
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,1
True Love,0
Satellite,208
Pass The Dutchie,0
"Villano Antillano: Bzrp Music Sessions, Vol. 51",1
Love Of My Life,0
Grapejuice,0
So Good,0
Belly Dancer,33
Keep Driving,0
Cinema,0
Die Young (feat. 347aidan),0
Only Love Can Hurt Like This,114
Hold My Hand,105
Daydreaming,0
Numb,9
Nos Comemos (feat. Ozuna),0
Me and Your Mama,0
Crazy What Love Can Do,5
SLOW DANCING IN THE DARK,1
Antes de Perderte,1
Boyfriends,0
295,7
Tak Ingin Usai,6
En El Radio Un Cochinero,0
Master of Puppets (Remastered),0
BREAK MY SOUL,2
ULTRA SOLO REMIX,0
Massive,11
Betty (Get Money),1
Ojos Marrones,4
POP!,2
Layla,0
MORE,0
Sweet Child O' Mine,99
Last Last,128
SNAP,353
Sticky,2
Hot Shit (feat. Ye & Lil Durk),0
Ai Preto,0
La Loto,0
die first,0
Afraid To Feel,101
Baile no Morro,30
cï¿½ï¿½mo dormi,0
Bad Decisions (with BTS & Snoop Dogg),0
STAYING ALIVE (feat. Drake & Lil Baby),0
Caile,0
Si Te La Encuentras Por Ahï¿,0
GIVENCHY,0
ALIEN SUPERSTAR,0
Mary On A Cross,141
Attention,1
THE SHADE,4
"Come Back Home - From ""Purple Hearts""",0
El Rescate,0
Heartless,2
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",0
Siempre Pendientes,0
JGL,0
Don't You Worry,6
Pipoco,3
Hold Me Closer,73
Forget Me,202
After LIKE,12
Bound 2,0
B.O.T.A. (Baddest Of Them All) - Edit,0
Talk that Talk,2
BILLIE EILISH.,1
Ferxxo 100,2
KU LO SA - A COLORS SHOW,7
Prohibidox,0
Static,0
The Scientist,0
Sparks,0
Talk,0
XQ Te Pones Asï¿,0
Selfish,0
Sin Seï¿½ï,1
Lady Mi Amor,0
Poland,0
THE LONELIEST,198
Bye Bye,0
BABY OTAKU,0
Nxde,11
Miss You,40
we fell in love in october,4
2 Be Loved (Am I Ready),68
Celestial,37
Typa Girl,1
I Really Want to Stay at Your House,0
California Breeze,3
Bamba (feat. Aitch & BIA),28
Casei Com a Putaria,0
Major Distribution,0
Pussy & Millions (feat. Travis Scott),1
Vigilante Shit,0
Question...?,0
On BS,0
Mastermind,0
Circo Loco,3
Labyrinth,0
Spin Bout U,95
Sweet Nothing,2
"Would've, Could've, Should've",0
Con La Brisa,0
Privileged Rappers,0
The Astronaut,27
BackOutsideBoyz,0
Broke Boys,0
The Great War,0
My Mind & Me,0
Bigger Than The Whole Sky,0
A Veces (feat. Feid),0
En La De Ella,0
Alone,0
